"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HHEXP","TOT","MLN_USD","A","2018",241762.643747646,
"AUT","HHEXP","TOT","MLN_USD","A","2019",250649.592713211,
"AUT","HHEXP","TOT","MLN_USD","A","2020",235682.174841826,
"AUT","HHEXP","TOT","MLN_USD","A","2021",249626.463432142,
"BEL","HHEXP","TOT","MLN_USD","A","2018",281506.127952642,
"BEL","HHEXP","TOT","MLN_USD","A","2019",296378.488856273,
"BEL","HHEXP","TOT","MLN_USD","A","2020",276223.455008936,
"BEL","HHEXP","TOT","MLN_USD","A","2021",296767.045455136,
"CZE","HHEXP","TOT","MLN_USD","A","2018",183353.431293166,
"CZE","HHEXP","TOT","MLN_USD","A","2019",194990.365961704,
"CZE","HHEXP","TOT","MLN_USD","A","2020",176761.147959521,
"CZE","HHEXP","TOT","MLN_USD","A","2021",186698.061625288,
"DNK","HHEXP","TOT","MLN_USD","A","2018",136117.668922864,
"DNK","HHEXP","TOT","MLN_USD","A","2019",140431.846775082,
"DNK","HHEXP","TOT","MLN_USD","A","2020",139161.221882375,
"DNK","HHEXP","TOT","MLN_USD","A","2021",146594.10255115,
"FIN","HHEXP","TOT","MLN_USD","A","2018",133594.975799266,
"FIN","HHEXP","TOT","MLN_USD","A","2019",138380.257337274,
"FIN","HHEXP","TOT","MLN_USD","A","2020",132769.205788218,
"FIN","HHEXP","TOT","MLN_USD","A","2021",138386.802705802,
"FRA","HHEXP","TOT","MLN_USD","A","2018",1514654.58352484,
"FRA","HHEXP","TOT","MLN_USD","A","2019",1596799.25960683,
"FRA","HHEXP","TOT","MLN_USD","A","2020",1503215.00075333,
"FRA","HHEXP","TOT","MLN_USD","A","2021",1605984.900708,
"DEU","HHEXP","TOT","MLN_USD","A","2018",2246100.18567069,
"DEU","HHEXP","TOT","MLN_USD","A","2019",2337883.21059122,
"DEU","HHEXP","TOT","MLN_USD","A","2020",2209000.30020448,
"DEU","HHEXP","TOT","MLN_USD","A","2021",2248593.14646152,
"GRC","HHEXP","TOT","MLN_USD","A","2018",194024.112299994,
"GRC","HHEXP","TOT","MLN_USD","A","2019",202154.880190533,
"GRC","HHEXP","TOT","MLN_USD","A","2020",180321.088705116,
"GRC","HHEXP","TOT","MLN_USD","A","2021",192014.587168378,
"HUN","HHEXP","TOT","MLN_USD","A","2018",137671.378021144,
"HUN","HHEXP","TOT","MLN_USD","A","2019",148358.189639776,
"HUN","HHEXP","TOT","MLN_USD","A","2020",142009.800273172,
"HUN","HHEXP","TOT","MLN_USD","A","2021",148672.058346372,
"IRL","HHEXP","TOT","MLN_USD","A","2018",101028.03540486,
"IRL","HHEXP","TOT","MLN_USD","A","2019",106095.409169121,
"IRL","HHEXP","TOT","MLN_USD","A","2020",90022.7561562144,
"IRL","HHEXP","TOT","MLN_USD","A","2021",95768.720085291,
"ITA","HHEXP","TOT","MLN_USD","A","2018",1398646.99580237,
"ITA","HHEXP","TOT","MLN_USD","A","2019",1465744.76703876,
"ITA","HHEXP","TOT","MLN_USD","A","2020",1310310.35626483,
"ITA","HHEXP","TOT","MLN_USD","A","2021",1390855.00955078,
"LUX","HHEXP","TOT","MLN_USD","A","2018",21549.4156657188,
"LUX","HHEXP","TOT","MLN_USD","A","2019",22049.0508149692,
"LUX","HHEXP","TOT","MLN_USD","A","2020",19813.2041800094,
"LUX","HHEXP","TOT","MLN_USD","A","2021",21896.9456803511,
"NLD","HHEXP","TOT","MLN_USD","A","2018",404756.273958362,
"NLD","HHEXP","TOT","MLN_USD","A","2019",418553.138348479,
"NLD","HHEXP","TOT","MLN_USD","A","2020",398834.068771595,
